SlideName	ScanName	ROILabel	SegmentLabel	SegmentDisplayName	Sample_ID	AOISurfaceArea	AOINucleiCount	ROICoordinateX	ROICoordinateY	RawReads	TrimmedReads	StitchedReads	AlignedReads	DeduplicatedReads	SequencingSaturation	UMIQ30	RTSQ30	disease_status	pathology	region	LOQ	NormalizationFactor	RoiReportX	RoiReportY
disease3	disease3_scan	7	Geometric Segment	disease3_scan | 007 | Geometric Segment	DSP-1001250007851-H-A02	31797.59253	202	11444	-18819	5521543	5471679	5426943	5182304	519757	90.5867436	0.9939	0.9932	DKD	abnormal	glomerulus	24.24652424	0.556032563	1197	-3538
disease3	disease3_scan	8	Geometric Segment	disease3_scan | 008 | Geometric Segment	DSP-1001250007851-H-A03	16920.10267	102	13064	-20021	3688649	3661664	3634011	3470622	342783	90.70708544	0.9948	0.9942	DKD	abnormal	glomerulus	19.33864297	0.820809975	1606	-3834
disease3	disease3_scan	9	Geometric Segment	disease3_scan | 009 | Geometric Segment	DSP-1001250007851-H-A04	14312.32987	98	14221	-18591	2470587	2452568	2432975	2325816	299883	87.8618725	0.9949	0.9943	DKD	abnormal	glomerulus	17.01753289	0.957611637	1892	-3474
disease3	disease3_scan	12	Geometric Segment	disease3_scan | 012 | Geometric Segment	DSP-1001250007851-H-A07	18164.84254	97	13075	-14941	2723251	2701322	2681044	2561699	257262	90.55312933	0.9944	0.9937	DKD	abnormal	glomerulus	16.31377625	1.077313092	1607	-2565
disease3	disease3_scan	23	Geometric Segment	disease3_scan | 023 | Geometric Segment	DSP-1001250007851-H-B06	19074.87601	149	21466	-34989	3276177	3240761	3213371	3067729	289544	91.16213807	0.9931	0.9926	DKD	abnormal	glomerulus	17.44213017	0.957611637	3702	-7576
disease3	disease3_scan	25	Geometric Segment	disease3_scan | 025 | Geometric Segment	DSP-1001250007851-H-B08	21006.45795	159	20460	-36591	4218502	4185983	4153266	3966295	281872	93.31819684	0.9945	0.9938	DKD	abnormal	glomerulus	16.33832162	1.013941733	3452	-7976
disease3	disease3_scan	27	Geometric Segment	disease3_scan | 027 | Geometric Segment	DSP-1001250007851-H-B10	25085.55104	182	23721	-38130	4253975	4217827	4184410	3970364	315017	92.59476137	0.9941	0.9933	DKD	abnormal	glomerulus	19.06063231	0.907211025	4263	-8357
disease3	disease3_scan	30	Geometric Segment	disease3_scan | 030 | Geometric Segment	DSP-1001250007851-H-C01	27694.13075	189	26204	-41318	2796433	2773828	2753266	2632365	399098	85.7283189	0.9943	0.9936	DKD	abnormal	glomerulus	20.31354047	0.718208728	4891	-9152
disease3	disease3_scan	31	Geometric Segment	disease3_scan | 031 | Geometric Segment	DSP-1001250007851-H-C02	19642.94088	154	28339	-43383	1946817	1931555	1916167	1834373	261420	86.57192741	0.9943	0.9935	DKD	abnormal	glomerulus	15.93832727	1.077313092	5419	-9674
disease3	disease3_scan	36	Geometric Segment	disease3_scan | 036 | Geometric Segment	DSP-1001250007851-H-C07	17982.80357	122	26588	-46798	1462293	1447082	1434666	1262945	235818	83.87340977	0.9931	0.9922	DKD	abnormal	glomerulus	12.53595571	1.231214962	4984	-10530
disease3	disease3_scan	37	Geometric Segment	disease3_scan | 037 | Geometric Segment	DSP-1001250007851-H-C08	27578.41981	173	26666	-48056	1994845	1979784	1964017	1856885	297237	85.09974459	0.9946	0.9939	DKD	abnormal	glomerulus	15.60882438	0.957611637	5001	-10842
disease3	disease3_scan	41	Geometric Segment	disease3_scan | 041 | Geometric Segment	DSP-1001250007851-H-C12	21286.7786	135	27403	-55508	783415	775715	769511	735930	128166	83.64008859	0.9936	0.9929	DKD	abnormal	glomerulus	5.593230046	2.154626183	5189	-12707
disease3	disease3_scan	49	Geometric Segment	disease3_scan | 049 | Geometric Segment	DSP-1001250007851-H-D08	16106.73706	120	29203	-35578	2747832	2721299	2698161	2580030	266304	90.30857782	0.9937	0.9926	DKD	abnormal	glomerulus	14.14071026	1.077313092	5637	-7723
disease3	disease3_scan	51	Geometric Segment	disease3_scan | 051 | Geometric Segment	DSP-1001250007851-H-D10	21682.97157	152	31800	-35784	4008351	3975272	3943401	3785450	338101	91.56508499	0.9941	0.9933	DKD	abnormal	glomerulus	15.82132259	0.820809975	6288	-7774
disease3	disease3_scan	53	Geometric Segment	disease3_scan | 053 | Geometric Segment	DSP-1001250007851-H-D12	17138.29122	118	32016	-39890	2761426	2734680	2709627	2596687	283057	89.74960763	0.9939	0.9932	DKD	abnormal	glomerulus	14.54090941	1.013941733	6340	-8796
disease4	disease4_scan	1	PanCK	disease4_scan | 001 | PanCK	DSP-1001250007851-H-E01	23053.26669	155	25496	-45188	3466160	3433496	3406559	3262250	330250	90.47216516	0.9936	0.9928	DKD	NA	tubule	17.16149459	0.957611637	4472	-10347
disease4	disease4_scan	2	PanCK	disease4_scan | 002 | PanCK	DSP-1001250007851-H-E03	17553.52728	108	23402	-51249	3060563	3034382	3009966	2877343	299829	90.2034691	0.9944	0.9936	DKD	NA	tubule	14.96296787	1.077313092	3952	-11847
disease4	disease4_scan	3	neg	disease4_scan | 003 | neg	DSP-1001250007851-H-E06	209925.6296	590	34558	-42808	13768154	13667392	13567220	12893478	1237730	91.01019643	0.995	0.9943	DKD	NA	tubule	60.71589678	0.257268798	6742	-9740
disease4	disease4_scan	4	PanCK	disease4_scan | 004 | PanCK	DSP-1001250007851-H-E07	17157.17292	134	24087	-28215	2662038	2640193	2618942	2495772	253064	90.49359926	0.9945	0.9938	DKD	NA	tubule	16.41249321	1.149133965	4126	-6091
disease4	disease4_scan	4	neg	disease4_scan | 004 | neg	DSP-1001250007851-H-E08	145616.813	353	24087	-28215	9456874	9387441	9319693	8855099	889919	90.58971284	0.9948	0.9941	DKD	NA	tubule	52.03046455	0.337980578	4126	-6091
disease4	disease4_scan	8	Geometric Segment	disease4_scan | 008 | Geometric Segment	DSP-1001250007851-H-F02	56775.66312	203	32113	-37448	4785984	4741095	4704084	4505398	479714	89.97669027	0.9937	0.9929	DKD	healthy	glomerulus	28.01603924	0.615607481	6130	-8408
