TargetName	disease2B_scan | 006 | neg	normal4_scan | 017 | Geometric Segment	normal2B_scan | 008 | neg	normal3_scan | 002 | PanCK	disease3_scan | 009 | Geometric Segment	disease4_scan | 001 | PanCK	normal2B_scan | 020 | Geometric Segment	disease4_scan | 004 | PanCK	disease4_scan | 010 | Geometric Segment	disease3_scan | 003 | neg	disease1B_scan | 008 | neg	disease3_scan | 031 | Geometric Segment	normal3_scan | 021 | Geometric Segment	normal3_scan | 007 | Geometric Segment	normal4_scan | 004 | PanCK	disease3_scan | 030 | Geometric Segment	normal2B_scan | 013 | Geometric Segment	normal3_scan | 029 | Geometric Segment	normal3_scan | 025 | Geometric Segment	disease3_scan | 023 | Geometric Segment	disease3_scan | 007 | Geometric Segment	normal3_scan | 036 | Geometric Segment	normal3_scan | 020 | Geometric Segment	disease3_scan | 036 | Geometric Segment	disease2B_scan | 007 | neg	normal2B_scan | 012 | PanCK	normal3_scan | 011 | Geometric Segment	disease2B_scan | 010 | PanCK	disease3_scan | 025 | Geometric Segment	normal2B_scan | 021 | Geometric Segment	normal3_scan | 053 | Geometric Segment	disease3_scan | 012 | Geometric Segment	normal3_scan | 010 | Geometric Segment	normal3_scan | 044 | Geometric Segment	disease3_scan | 001 | neg	normal2B_scan | 011 | PanCK	disease2B_scan | 022 | Geometric Segment	disease3_scan | 001 | PanCK	normal3_scan | 024 | Geometric Segment	normal3_scan | 001 | PanCK	disease3_scan | 053 | Geometric Segment	disease3_scan | 027 | Geometric Segment	disease3_scan | 008 | Geometric Segment	normal3_scan | 018 | Geometric Segment	normal3_scan | 006 | neg	disease1B_scan | 015 | Geometric Segment	disease4_scan | 002 | PanCK	disease3_scan | 041 | Geometric Segment	disease1B_scan | 016 | Geometric Segment	disease4_scan | 008 | Geometric Segment	normal3_scan | 049 | Geometric Segment	disease3_scan | 004 | neg	normal3_scan | 014 | Geometric Segment	normal4_scan | 005 | PanCK	normal4_scan | 011 | Geometric Segment	disease2B_scan | 006 | PanCK	disease3_scan | 037 | Geometric Segment	disease3_scan | 051 | Geometric Segment	disease2B_scan | 020 | Geometric Segment	disease4_scan | 018 | Geometric Segment	disease4_scan | 003 | neg	normal3_scan | 034 | Geometric Segment	disease3_scan | 049 | Geometric Segment	disease1B_scan | 019 | Geometric Segment	normal3_scan | 040 | Geometric Segment	normal2B_scan | 019 | Geometric Segment	normal3_scan | 052 | Geometric Segment	disease1B_scan | 010 | PanCK	normal2B_scan | 017 | Geometric Segment	disease4_scan | 004 | neg
ZMIZ2	18	11	33	24	20	26	22	23	20	84	18	30	34	30	33	28	23	14	30	24	44	17	29	12	29	19	21	16	23	7	13	31	18	15	81	14	6	51	12	50	25	28	28	19	55	3	15	18	2	33	22	118	17	27	13	5	23	30	8	11	120	12	13	1	11	13	12	27	22	63
SPAG9	47	12	71	27	22	41	25	31	16	58	60	28	43	43	46	28	41	9	29	26	39	19	22	21	38	19	18	14	25	4	20	17	26	16	65	22	11	48	20	36	17	36	22	23	54	8	33	12	10	37	23	81	31	47	17	7	20	35	16	18	109	15	26	1	12	48	17	34	50	82
AMELX	10	2	14	7	10	11	8	8	12	29	8	10	6	9	14	10	4	4	9	10	8	4	4	9	7	7	6	6	10	5	6	6	5	6	30	3	3	21	11	4	11	8	8	9	12	1	5	7	1	16	11	44	9	12	8	2	6	6	1	4	39	6	6	1	1	6	3	9	5	42
PAQR8	3	5	16	13	10	9	9	7	13	37	11	12	14	17	13	15	10	3	8	16	24	11	9	7	6	8	7	6	10	5	7	7	10	4	58	10	1	34	7	19	13	10	9	15	16	1	10	4	1	16	9	51	18	15	9	4	12	16	7	6	42	3	6	4	10	10	10	15	11	38
CYP2C9	2	5	25	4	15	12	8	11	9	39	9	6	8	8	15	16	4	3	6	11	19	7	6	7	5	9	8	3	8	1	8	8	8	12	57	3	3	28	4	8	7	12	9	7	21	2	3	3	1	12	7	56	4	18	2	1	10	9	5	3	54	8	10	1	7	5	2	8	10	32
CDK2AP2	23	12	93	21	42	54	24	33	27	113	22	29	36	28	117	42	36	10	24	34	72	19	30	37	14	27	25	11	36	12	15	37	20	13	139	27	5	81	12	57	29	35	45	15	48	2	42	17	5	44	27	169	14	37	23	3	20	37	12	21	190	13	32	2	16	47	17	25	37	116
STRIT1	6	7	19	7	10	6	2	7	7	34	14	7	11	7	8	11	5	8	8	12	17	7	16	8	9	4	5	3	7	3	3	13	9	8	54	6	6	26	6	12	8	11	15	5	15	1	5	3	3	24	10	44	5	6	7	4	10	7	6	10	45	5	8	1	5	6	1	9	7	35
MRPS30	15	4	23	22	12	25	13	18	11	37	19	17	20	28	22	26	9	9	17	12	17	14	16	9	15	22	17	9	10	7	7	13	12	7	57	13	4	24	10	33	13	9	16	12	41	1	25	6	2	18	22	56	13	22	9	5	14	24	3	9	52	11	15	1	11	15	9	19	17	34
TAF9	17	4	28	12	13	13	11	5	13	45	16	16	17	12	14	14	10	3	13	11	32	14	16	11	12	12	8	3	9	2	5	11	14	8	59	8	8	29	10	13	8	12	22	13	29	2	8	4	2	18	13	58	5	19	8	3	11	9	6	9	59	10	10	1	5	6	5	7	15	43
SOWAHA	5	6	20	6	12	14	7	8	12	30	13	8	13	6	13	15	6	3	7	14	17	10	11	6	16	3	8	9	15	6	8	12	2	5	69	7	3	37	3	14	12	16	9	7	22	1	15	6	1	15	6	61	6	10	7	1	11	10	4	4	45	7	8	1	10	15	5	15	4	53
NT5C3A	9	3	31	16	17	12	10	17	17	64	27	16	18	21	17	18	9	12	19	12	26	12	16	12	15	6	7	6	17	2	7	22	19	14	75	6	7	40	16	18	18	23	22	10	32	1	11	16	3	31	9	73	8	29	18	1	15	21	9	7	68	16	15	1	11	7	10	17	21	50
DOCK6	5	11	27	16	27	23	13	21	18	50	15	25	25	29	27	28	12	15	14	18	43	22	19	23	9	6	18	6	30	5	10	20	9	12	68	6	5	40	21	20	26	26	38	19	29	4	13	8	4	31	24	92	16	27	15	6	28	32	10	14	51	8	32	1	14	13	11	13	15	54
PSMC3IP	5	7	23	5	15	6	8	15	8	34	4	7	10	8	7	13	3	7	4	15	25	9	10	9	5	9	8	6	12	5	5	11	5	10	38	6	2	25	7	8	10	10	12	8	24	2	11	3	1	15	9	54	10	4	6	1	13	10	6	4	45	4	11	1	5	11	6	14	10	50
MCM3AP	7	9	23	14	26	17	5	18	12	47	5	22	27	16	10	38	14	15	19	14	31	12	10	10	12	6	10	6	18	5	12	16	15	14	70	11	7	58	18	19	17	18	20	20	45	3	11	9	2	23	19	58	12	17	10	3	16	23	8	5	50	10	23	2	13	13	10	16	10	46
LAMP1	58	36	171	63	80	101	50	68	41	152	52	53	104	88	63	105	71	28	67	42	103	57	71	60	77	73	67	34	60	34	47	54	64	52	181	58	22	141	59	94	64	92	84	52	104	8	59	31	13	79	65	172	58	87	62	24	75	83	36	43	285	44	65	1	52	61	37	58	74	120
BIRC7	11	2	16	3	8	5	4	12	13	35	12	11	16	7	9	12	6	7	14	6	23	7	12	8	5	5	6	1	12	4	7	15	7	9	58	5	5	30	10	16	12	18	7	9	17	1	8	5	1	23	7	56	13	8	12	1	8	20	6	2	42	10	9	1	5	7	3	9	5	34
ASB15	7	1	27	3	9	8	12	8	15	26	18	7	10	14	10	16	12	7	10	7	22	6	11	6	7	7	11	2	9	6	7	5	13	15	51	5	5	29	10	15	14	13	18	9	19	1	6	5	2	27	10	54	7	3	10	2	16	16	5	10	53	10	8	2	6	14	2	11	10	48
NUDC	24	16	75	27	25	56	24	27	18	83	36	25	43	36	53	35	37	14	30	28	44	26	28	18	27	70	26	19	29	15	14	22	28	29	101	29	15	76	27	57	30	17	41	26	77	2	108	10	6	47	21	133	27	46	29	13	30	55	15	18	115	14	29	1	15	32	18	36	42	69
PDE4D	10	3	29	20	12	10	9	7	10	51	22	11	16	21	14	20	14	12	22	21	23	15	26	13	13	19	14	6	16	5	12	13	15	14	63	14	7	35	18	28	23	21	18	21	14	2	12	6	2	23	15	49	17	21	10	2	16	11	9	7	54	12	12	1	3	15	12	12	10	29
GPD1L	9	6	24	14	22	18	10	16	14	32	10	12	14	23	24	20	15	7	18	9	26	15	18	22	18	19	17	4	19	5	19	14	19	12	58	11	2	34	9	30	15	17	16	30	52	6	17	10	5	20	22	66	11	30	15	2	22	22	4	6	63	12	18	1	12	12	10	13	22	46
RAB39A	13	4	24	6	7	9	7	7	11	42	19	9	7	14	11	15	6	8	9	13	22	9	7	3	9	6	11	6	13	3	5	10	9	10	61	6	3	32	11	13	8	11	17	6	19	2	16	6	3	25	10	50	8	13	7	2	14	8	7	4	63	5	8	2	4	7	4	17	9	48
RCHY1	16	11	35	15	19	18	16	8	13	55	18	13	31	18	17	13	17	7	18	11	30	12	23	14	19	20	19	6	10	10	20	9	24	14	50	18	5	40	16	33	10	16	13	16	54	1	12	8	4	42	30	68	16	22	24	5	19	16	7	8	61	13	19	3	12	20	11	15	21	53
SCN3A	7	1	15	7	12	6	8	4	10	32	12	2	13	11	4	15	6	8	13	7	21	5	9	3	6	7	5	7	11	1	6	4	6	9	48	6	2	24	5	10	10	9	7	8	16	1	11	2	2	16	8	50	8	14	5	1	7	4	6	7	30	4	5	1	4	6	5	3	9	36
SPINDOC	4	7	23	11	13	12	8	12	22	43	17	18	17	11	16	21	9	6	13	13	36	8	12	8	10	6	5	5	17	5	7	12	15	9	72	5	7	33	6	7	13	13	21	18	25	2	20	4	2	21	18	69	10	11	11	1	8	15	9	8	56	10	13	4	3	17	7	19	11	46
PRTG	5	2	20	9	14	11	4	8	7	31	11	7	21	9	13	15	11	4	5	9	22	6	9	5	10	4	4	7	11	3	12	11	7	5	40	10	4	27	3	16	12	6	12	7	13	3	11	9	1	17	5	44	7	16	7	1	8	17	4	7	38	5	5	4	1	4	7	7	11	37
OR6K3	8	6	15	7	12	9	8	8	14	48	9	11	12	7	5	12	2	1	5	7	13	5	19	3	12	5	5	4	10	2	6	10	10	6	53	8	5	33	5	11	10	14	12	13	22	4	10	5	1	17	8	50	8	13	16	2	11	9	3	8	39	6	7	1	11	6	5	17	7	41
COL24A1	10	1	18	4	8	9	8	2	7	15	12	5	11	8	8	11	7	6	4	15	7	8	6	4	3	8	4	1	5	1	7	9	7	10	43	3	4	21	5	10	9	6	6	2	10	1	4	2	1	10	3	45	2	10	7	1	7	4	4	4	40	11	7	1	3	7	3	11	2	24
SELENOM	15	16	29	38	25	43	19	25	29	68	33	27	33	46	46	33	20	16	18	27	61	18	29	30	19	31	29	31	19	14	23	28	32	21	75	38	18	61	29	47	21	15	25	23	55	1	33	14	5	42	32	137	30	47	30	13	32	44	15	16	105	19	24	2	13	38	18	55	24	61
BTBD19	17	9	22	9	23	13	7	12	17	54	6	16	22	19	19	17	1	5	9	19	37	10	22	12	11	7	15	7	18	5	7	16	15	13	78	11	7	58	18	14	12	16	20	13	21	5	13	10	2	30	17	89	12	14	17	5	16	20	8	9	86	14	12	1	5	15	13	17	11	60
CCL25	4	5	18	3	9	9	7	10	14	42	16	10	10	8	3	5	9	5	8	6	13	4	12	5	11	6	2	1	10	1	9	10	7	7	65	3	3	36	6	10	8	7	14	5	12	1	9	9	4	23	4	51	10	9	6	1	11	12	5	3	47	3	4	1	8	4	7	13	7	33
APOA2	9	10	15	5	16	12	10	6	7	40	13	7	15	15	13	15	8	6	12	14	20	10	12	6	4	11	8	9	11	1	7	10	8	8	56	7	4	34	7	11	12	8	13	18	18	2	8	6	3	26	13	62	12	12	6	4	12	16	8	9	63	6	13	1	7	11	10	14	11	59
GKN2	4	1	15	6	6	2	2	1	6	15	4	4	8	4	10	12	5	5	9	4	21	4	4	2	9	3	5	1	3	1	3	6	4	3	33	3	5	16	3	4	4	12	10	9	9	2	3	1	1	18	1	33	5	14	4	1	3	6	4	1	40	2	3	1	1	5	5	7	7	26
PNPLA3	7	3	18	2	10	14	9	7	12	40	10	7	16	10	7	16	5	8	7	13	16	5	11	5	2	11	4	1	15	4	7	8	11	3	48	4	5	26	11	8	13	9	12	7	228	1	15	8	2	12	9	55	6	13	10	2	7	17	3	6	28	2	5	1	2	3	6	9	9	41
OR2M5	7	2	23	11	18	15	4	10	10	82	15	19	17	14	16	19	9	8	20	25	37	9	14	12	11	10	6	7	13	3	10	23	10	16	96	7	3	47	10	18	20	22	21	21	24	1	9	13	3	29	16	82	9	11	12	3	24	12	1	9	69	8	29	1	9	7	9	15	7	52
TRIM32	12	5	17	6	4	10	7	5	15	39	13	8	12	12	6	18	11	3	10	15	18	6	10	9	5	9	10	3	6	4	6	10	10	12	58	9	1	30	7	12	6	16	10	10	17	3	11	5	3	18	10	43	6	9	5	2	5	14	10	9	53	5	10	1	4	5	3	7	9	38
KIAA1328	5	7	12	8	13	11	5	5	10	27	8	10	16	13	15	13	4	7	11	8	16	5	12	4	5	4	6	11	16	1	18	10	9	10	51	4	2	30	5	15	17	9	12	4	14	1	7	8	1	11	12	64	9	11	11	3	16	12	6	10	31	14	6	1	6	7	6	7	8	33
ESR2	7	4	19	10	9	12	9	8	8	35	7	10	9	9	15	12	9	2	12	13	17	5	12	5	8	8	6	4	11	3	9	10	10	3	57	11	4	27	8	9	11	5	15	7	14	1	7	6	2	24	9	59	9	6	5	2	13	10	6	6	48	8	5	1	5	8	5	13	4	45
AVPI1	10	3	21	7	9	11	5	14	14	30	10	14	11	15	18	21	9	6	18	9	17	12	15	12	7	10	7	10	17	2	7	9	17	9	71	9	6	41	9	21	5	8	12	13	24	2	19	6	2	22	13	60	12	5	11	3	12	19	4	2	47	11	13	2	9	12	4	5	9	49
STC2	27	4	26	7	12	8	6	3	13	28	16	8	14	13	11	15	9	3	9	12	22	6	10	11	12	6	5	5	14	9	12	11	10	7	50	6	5	28	11	9	11	5	13	8	12	2	13	6	3	15	7	50	11	8	16	5	11	6	16	11	53	13	13	2	6	6	1	16	6	38
NAB1	12	9	26	21	14	14	14	17	16	40	15	11	32	18	19	17	8	10	27	18	31	22	23	11	11	8	21	9	16	10	13	15	11	20	67	9	5	35	14	18	19	19	22	20	31	1	25	12	1	24	23	70	14	15	18	4	17	27	7	8	79	15	20	1	6	16	8	11	22	45
TAOK2	2	6	15	12	12	5	9	5	13	17	8	11	18	21	8	18	14	3	12	6	21	10	13	9	7	8	7	3	14	7	10	7	19	8	36	6	3	22	11	14	12	10	12	9	20	1	7	3	1	14	15	40	10	15	8	3	8	11	8	2	34	7	12	2	4	5	7	11	13	36
SLC17A4	9	4	21	6	4	4	5	6	5	37	10	7	13	11	4	13	8	1	2	8	17	5	9	4	9	3	4	3	10	1	2	6	5	2	54	3	3	32	14	3	3	9	6	11	11	1	11	3	2	22	13	49	4	8	9	1	12	12	7	2	36	5	9	1	8	4	4	11	6	27
GUK1	51	7	51	28	28	46	22	29	9	47	15	26	40	34	51	25	25	11	29	22	34	13	23	15	39	35	34	17	21	9	20	29	28	22	55	24	10	46	14	39	22	16	28	21	62	6	26	13	4	36	42	73	22	34	16	17	34	31	17	18	81	11	26	2	12	30	15	16	25	46
ANXA10	10	4	16	8	7	5	4	10	12	35	12	8	11	9	14	16	5	1	9	12	23	6	13	11	9	10	8	7	12	3	4	11	4	6	47	4	1	20	5	11	9	14	12	4	12	1	1	8	1	17	12	59	4	9	13	2	12	13	4	6	50	9	11	1	3	11	5	7	3	39
CABS1	11	3	18	4	9	14	10	6	7	31	12	10	13	5	8	11	9	4	8	18	10	9	4	9	8	10	7	3	12	3	8	7	2	4	49	3	4	28	1	7	11	18	11	8	16	2	6	6	1	25	12	33	12	8	3	3	10	16	5	4	49	8	10	1	4	6	6	26	7	37
