RTS_ID	TargetName	ProbeID	Negative
RTS0020877	A2M	35614	FALSE
RTS0020878	NAT2	35615	FALSE
RTS0020879	ACADM	35616	FALSE
RTS0020880	ACADS	35617	FALSE
RTS0020881	ACAT1	35618	FALSE
RTS0020882	ACVRL1	35619	FALSE
RTS0020883	PSEN1	35620	FALSE
RTS0020884	ADA	35621	FALSE
RTS0020885	SGCA	35622	FALSE
RTS0020886	ADRB2	35623	FALSE
RTS0020887	ADRB3	35624	FALSE
RTS0020888	AGL	35625	FALSE
RTS0020890	AGXT	35626	FALSE
RTS0020892	ABCD1	35627	FALSE
RTS0020893	ALDOB	35628	FALSE
RTS0020894	AMPD1	35629	FALSE
RTS0020895	APC	35630	FALSE
RTS0020896	APOA1	35631	FALSE
RTS0020897	APOC3	430	FALSE
RTS0020898	APOE	35632	FALSE
RTS0020899	APOH	35633	FALSE
RTS0020901	ARG1	35634	FALSE
RTS0020902	ARSB	35635	FALSE
RTS0020904	ASL	35636	FALSE
RTS0020905	ASPA	35637	FALSE
RTS0020906	ASS1	35638	FALSE
RTS0020907	ATM	35639	FALSE
RTS0020908	ATP7A	35640	FALSE
RTS0020909	ATP7B	35641	FALSE
RTS0020910	AVPR2	35642	FALSE
RTS0020911	BLM	35643	FALSE
RTS0020912	BRCA2	35644	FALSE
RTS0020913	BTD	35645	FALSE
RTS0020914	BTK	35646	FALSE
RTS0020915	SERPING1	35647	FALSE
RTS0020916	C2	35648	FALSE
RTS0020917	C3	35649	FALSE
RTS0020918	C6	35650	FALSE
RTS0020919	C8B	35651	FALSE
RTS0020920	CA2	35652	FALSE
RTS0020921	CACNA1S	35653	FALSE
RTS0020922	CBS	35654	FALSE
RTS0020923	CD36	35655	FALSE
RTS0020924	CD3G	35656	FALSE
RTS0020925	CD40LG	35657	FALSE
RTS0020926	CDK4	35658	FALSE
RTS0020927	CDKN1C	35659	FALSE
RTS0020929	CETP	35660	FALSE
RTS0020930	CHRNE	35661	FALSE
RTS0020931	LYST	35662	FALSE
RTS0020932	ERCC8	35663	FALSE
RTS0020933	CLCN1	35664	FALSE
RTS0020934	CLCN5	35665	FALSE
RTS0020935	CLN3	35666	FALSE
RTS0020936	CNGA1	35667	FALSE
RTS0020937	COL1A1	35668	FALSE
RTS0020938	COL1A2	35669	FALSE
RTS0020940	COL4A3	35670	FALSE
RTS0020942	COL5A1	35671	FALSE
RTS0020944	COMP	35672	FALSE
RTS0020945	CP	35673	FALSE
RTS0020946	CPOX	35674	FALSE
RTS0020947	CPT2	35675	FALSE
RTS0020948	CST3	35676	FALSE
RTS0020949	CSTB	35677	FALSE
RTS0020951	CYP17A1	35678	FALSE
RTS0020952	CYP19A1	35679	FALSE
RTS0020953	CYP1B1	35680	FALSE
RTS0020954	CYP2D6	35681	FALSE
RTS0020955	DDB2	35682	FALSE
RTS0020956	DLD	35683	FALSE
RTS0020958	SLC26A3	35684	FALSE
RTS0020959	SLC26A2	35685	FALSE
RTS0020960	TOR1A	35686	FALSE
RTS0020961	EDN3	35687	FALSE
RTS0020962	EMD	35688	FALSE
RTS0020963	EPB42	35689	FALSE
RTS0020964	EPHX1	35690	FALSE
RTS0020965	EPOR	35691	FALSE
RTS0020967	ERCC5	35692	FALSE
RTS0020968	ESR1	35693	FALSE
RTS0020969	EXT1	35694	FALSE
RTS0020970	F11	35695	FALSE
RTS0020971	F13A1	35696	FALSE
RTS0020972	F5	35697	FALSE
RTS0020973	F9	35698	FALSE
RTS0020974	FABP2	35699	FALSE
RTS0020975	FANCA	35700	FALSE
RTS0020976	FAH	35701	FALSE
RTS0020978	MS4A2	35702	FALSE
RTS0020979	FECH	35703	FALSE
RTS0020980	FGFR2	35704	FALSE
RTS0020981	FH	35705	FALSE
RTS0020982	FSHR	35706	FALSE
RTS0020983	FUCA1	35707	FALSE
RTS0020984	FUT1	35708	FALSE
RTS0020986	FUT6	35709	FALSE
RTS0020987	G6PC	35710	FALSE
RTS0020989	GALC	35711	FALSE
RTS0020990	GALK1	35712	FALSE
RTS0020991	GALT	35713	FALSE
RTS0020992	GBE1	35714	FALSE
RTS0020993	GCDH	35715	FALSE
RTS0020994	GCGR	35716	FALSE
RTS0020995	GCH1	35717	FALSE
RTS0020997	GHR	35718	FALSE
RTS0020998	GIPR	35719	FALSE
RTS0020999	GJA1	35720	FALSE
RTS0021000	GJB1	35721	FALSE
RTS0021001	GK	35722	FALSE
RTS0021002	GLI3	35723	FALSE
RTS0021004	GLDC	35724	FALSE
RTS0021005	GNAT1	35725	FALSE
RTS0021006	GP1BA	35726	FALSE
RTS0021007	GP9	35727	FALSE
RTS0021008	GPI	35728	FALSE
RTS0021009	GSN	35729	FALSE
RTS0021010	GSS	35730	FALSE
RTS0021011	MSH6	35731	FALSE
RTS0021012	GUCY2D	35732	FALSE
RTS0021013	GUSB	35733	FALSE
RTS0021014	HADHA	35734	FALSE
RTS0021015	HADHB	35735	FALSE
RTS0021016	HBG2	35736	FALSE
RTS0021017	SERPIND1	35737	FALSE
RTS0021018	HGD	35738	FALSE
RTS0021019	HK1	35739	FALSE
RTS0021020	HK2	35740	FALSE
RTS0021022	HMGCL	35741	FALSE
RTS0021023	SHH	35742	FALSE
RTS0021024	HPRT1	35743	FALSE
RTS0021025	HPS1	35744	FALSE
