SlideName	ScanName	ROILabel	SegmentLabel	SegmentDisplayName	Sample_ID	AOISurfaceArea	AOINucleiCount	ROICoordinateX	ROICoordinateY	RawReads	TrimmedReads	StitchedReads	AlignedReads	DeduplicatedReads	SequencingSaturation	UMIQ30	RTSQ30	disease_status	pathology	region	LOQ	NormalizationFactor	RoiReportX	RoiReportY
disease3	disease3_scan	7	Geometric Segment	disease3_scan | 007 | Geometric Segment	DSP-1001250007851-H-A02	31797.59253	202	11444	-18819	5521543	5471679	5426943	5182304	519757	90.5867436	0.9939	0.9932	DKD	abnormal	glomerulus	24.24652424	0.556032563	1197	-3538
disease3	disease3_scan	8	Geometric Segment	disease3_scan | 008 | Geometric Segment	DSP-1001250007851-H-A03	16920.10267	102	13064	-20021	3688649	3661664	3634011	3470622	342783	90.70708544	0.9948	0.9942	DKD	abnormal	glomerulus	19.33864297	0.820809975	1606	-3834
disease3	disease3_scan	9	Geometric Segment	disease3_scan | 009 | Geometric Segment	DSP-1001250007851-H-A04	14312.32987	98	14221	-18591	2470587	2452568	2432975	2325816	299883	87.8618725	0.9949	0.9943	DKD	abnormal	glomerulus	17.01753289	0.957611637	1892	-3474
disease3	disease3_scan	10	Geometric Segment	disease3_scan | 010 | Geometric Segment	DSP-1001250007851-H-A05	20032.83995	143	12120	-17683	3703066	3654886	3618022	3459194	392537	89.39967584	0.9925	0.9909	DKD	abnormal	glomerulus	22.33501177	0.718208728	1366	-3245
disease3	disease3_scan	11	Geometric Segment	disease3_scan | 011 | Geometric Segment	DSP-1001250007851-H-A06	27583.26127	195	12816	-16378	5916477	5856159	5802764	5548026	594119	89.95823021	0.9934	0.9923	DKD	abnormal	glomerulus	24.7038376	0.492485985	1542	-2925
disease3	disease3_scan	12	Geometric Segment	disease3_scan | 012 | Geometric Segment	DSP-1001250007851-H-A07	18164.84254	97	13075	-14941	2723251	2701322	2681044	2561699	257262	90.55312933	0.9944	0.9937	DKD	abnormal	glomerulus	16.31377625	1.077313092	1607	-2565
disease3	disease3_scan	13	Geometric Segment	disease3_scan | 013 | Geometric Segment	DSP-1001250007851-H-A08	25827.58578	183	13207	-13878	6274410	6227843	6175954	5907459	536785	91.44485298	0.995	0.9943	DKD	abnormal	glomerulus	23.51923359	0.538656546	1640	-2301
disease3	disease3_scan	14	Geometric Segment	disease3_scan | 014 | Geometric Segment	DSP-1001250007851-H-A09	12021.51145	86	15449	-18484	2873507	2850166	2827703	2701890	281428	90.20611399	0.9944	0.9936	DKD	abnormal	glomerulus	15.17743038	1.013941733	2200	-3451
disease3	disease3_scan	15	Geometric Segment	disease3_scan | 015 | Geometric Segment	DSP-1001250007851-H-A10	22156.9507	147	17046	-20601	4311045	4274528	4240919	4047813	411528	90.45410104	0.9941	0.9933	DKD	abnormal	glomerulus	20.56740657	0.689480379	2598	-3976
disease3	disease3_scan	16	Geometric Segment	disease3_scan | 016 | Geometric Segment	DSP-1001250007851-H-A11	26042.70807	195	17029	-22040	4771232	4723805	4681130	4464995	512650	89.25539567	0.9937	0.9929	DKD	abnormal	glomerulus	25.12354217	0.556032563	2596	-4337
disease3	disease3_scan	17	Geometric Segment	disease3_scan | 017 | Geometric Segment	DSP-1001250007851-H-A12	14519.38306	82	12753	-23855	2891046	2864976	2843198	2718347	281743	90.25463448	0.9939	0.9932	DKD	abnormal	glomerulus	16.11728525	1.013941733	1523	-4795
disease3	disease3_scan	18	Geometric Segment	disease3_scan | 018 | Geometric Segment	DSP-1001250007851-H-B01	24344.16183	164	17524	-30115	4452245	4417956	4383805	4176468	305363	93.14137025	0.9945	0.9937	DKD	abnormal	glomerulus	18.23379485	0.907211025	2716	-6353
disease3	disease3_scan	19	Geometric Segment	disease3_scan | 019 | Geometric Segment	DSP-1001250007851-H-B02	19077.45812	141	18095	-31530	3653435	3621399	3591115	3431728	281849	92.2853698	0.9942	0.9935	DKD	abnormal	glomerulus	15.28009236	1.013941733	2861	-6712
disease3	disease3_scan	20	Geometric Segment	disease3_scan | 020 | Geometric Segment	DSP-1001250007851-H-B03	21760.91911	156	20972	-31310	3197194	3175551	3151313	3006682	257942	91.93223808	0.9948	0.9942	DKD	abnormal	glomerulus	16.33310735	1.077313092	3580	-6654
disease3	disease3_scan	21	Geometric Segment	disease3_scan | 021 | Geometric Segment	DSP-1001250007851-H-B04	20961.10959	147	22649	-32772	4882585	4836584	4798184	4586350	347716	92.87844451	0.9936	0.9928	DKD	abnormal	glomerulus	19.01745839	0.820809975	4002	-7025
disease3	disease3_scan	22	Geometric Segment	disease3_scan | 022 | Geometric Segment	DSP-1001250007851-H-B05	19698.45631	162	23800	-34566	3882939	3853351	3820903	3648769	295221	92.39697044	0.9948	0.994	DKD	abnormal	glomerulus	17.38685082	0.957611637	4288	-7470
disease3	disease3_scan	23	Geometric Segment	disease3_scan | 023 | Geometric Segment	DSP-1001250007851-H-B06	19074.87601	149	21466	-34989	3276177	3240761	3213371	3067729	289544	91.16213807	0.9931	0.9926	DKD	abnormal	glomerulus	17.44213017	0.957611637	3702	-7576
disease3	disease3_scan	24	Geometric Segment	disease3_scan | 024 | Geometric Segment	DSP-1001250007851-H-B07	18329.61363	153	20836	-35367	2780291	2752881	2729823	2602394	246222	91.14402054	0.9936	0.9928	DKD	abnormal	glomerulus	15.06591648	1.149133965	3544	-7671
disease3	disease3_scan	25	Geometric Segment	disease3_scan | 025 | Geometric Segment	DSP-1001250007851-H-B08	21006.45795	159	20460	-36591	4218502	4185983	4153266	3966295	281872	93.31819684	0.9945	0.9938	DKD	abnormal	glomerulus	16.33832162	1.013941733	3452	-7976
disease3	disease3_scan	26	Geometric Segment	disease3_scan | 026 | Geometric Segment	DSP-1001250007851-H-B09	25569.53586	174	20119	-37041	4400969	4366099	4333565	4088336	313398	92.87888645	0.9944	0.9936	DKD	abnormal	glomerulus	19.96328022	0.907211025	3366	-8083
